City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
219,Bundaberg,AU,-24.85,152.35,76.21,62,88,5.01,overcast clouds,2022-10-16 04:23:00
220,Aripuana,BR,-9.1667,-60.6333,71.1,99,90,1.72,overcast clouds,2022-10-16 04:23:00
221,Privas,FR,44.5833,4.5,58.51,94,25,2.24,scattered clouds,2022-10-16 04:23:01
222,Vao,NC,-22.6667,167.4833,69.55,60,3,6.93,clear sky,2022-10-16 04:23:01
223,Raudeberg,NO,61.9875,5.1352,48.87,66,99,14.74,overcast clouds,2022-10-16 04:23:02
224,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.03,80,44,7.27,scattered clouds,2022-10-16 04:23:02
225,Chato,TZ,-2.6378,31.7669,68.29,84,100,3.06,light rain,2022-10-16 04:23:03
226,Portland,US,45.5234,-122.6762,78.75,38,0,11.99,clear sky,2022-10-16 04:18:47
227,Erzurum,TR,40.0,41.5,44.28,83,82,3.33,broken clouds,2022-10-16 04:23:04
228,Nisia Floresta,BR,-6.0911,-35.2086,72.41,92,67,9.24,broken clouds,2022-10-16 04:23:05
229,Orbetello,IT,42.4408,11.2196,55.42,80,50,6.04,scattered clouds,2022-10-16 04:23:05
230,Taltal,CL,-25.4,-70.4833,57.88,83,12,1.21,few clouds,2022-10-16 04:20:20
231,Juneau,US,58.3019,-134.4197,57.11,100,75,0.0,fog,2022-10-16 04:23:13
232,Dakar,SN,14.6937,-17.4441,77.88,75,0,11.16,clear sky,2022-10-16 04:24:07
233,Katsuura,JP,35.1333,140.3,75.22,67,17,10.74,few clouds,2022-10-16 04:24:07
234,Kibala,TD,9.1104,18.3463,71.55,93,100,4.0,overcast clouds,2022-10-16 04:24:08
235,Marquette,US,46.5333,-87.6335,38.34,87,100,8.99,overcast clouds,2022-10-16 04:24:08
236,Houma,US,29.5958,-90.7195,66.99,95,0,3.44,clear sky,2022-10-16 04:24:09
237,Kashi,CN,39.4547,75.9797,63.61,23,0,6.71,clear sky,2022-10-16 04:24:09
238,Gladstone,AU,-23.85,151.25,76.78,69,100,13.8,overcast clouds,2022-10-16 04:24:10
239,Kamenka,RU,51.3223,42.7678,36.1,76,42,2.95,scattered clouds,2022-10-16 04:24:10
240,North Branch,US,45.5113,-92.9802,48.34,76,100,7.0,overcast clouds,2022-10-16 04:24:11
241,Necochea,AR,-38.5473,-58.7368,46.02,85,0,10.36,clear sky,2022-10-16 04:24:11
242,Conceicao Do Araguaia,BR,-8.2578,-49.2647,74.23,73,52,4.52,broken clouds,2022-10-16 04:24:12
243,Kapit,MY,2.0167,112.9333,93.11,50,75,1.97,broken clouds,2022-10-16 04:24:12
244,Bilokurakyne,UA,49.5341,38.7307,36.88,75,56,6.38,broken clouds,2022-10-16 04:24:13
245,Wanaka,NZ,-44.7,169.15,56.57,67,100,5.97,overcast clouds,2022-10-16 04:22:00
246,Pangnirtung,CA,66.1451,-65.7125,37.67,94,100,3.51,overcast clouds,2022-10-16 04:24:13
247,Fairbanks,US,64.8378,-147.7164,32.09,79,0,5.75,clear sky,2022-10-16 04:20:02
248,Puri,IN,19.8,85.85,86.52,72,5,7.63,clear sky,2022-10-16 04:22:16
249,Kodiak,US,57.79,-152.4072,49.51,81,100,9.22,overcast clouds,2022-10-16 04:24:15
250,San Juan,AR,-31.5375,-68.5364,62.94,21,0,3.67,clear sky,2022-10-16 04:24:15
